 i r(i) N(i) N( i<)    N( i<)m      d(x)      %error
   83   0.0830      8    343   3.430E-03   3.420E-03   3.023E-03
   84   0.0840      8    351   3.510E-03   3.500E-03   2.818E-03
   85   0.0850      8    359   3.590E-03   3.582E-03   2.342E-03
   86   0.0860      8    367   3.670E-03   3.664E-03   1.648E-03
   87   0.0870      8    375   3.750E-03   3.747E-03   7.511E-04
   88   0.0880      8    383   3.830E-03   3.831E-03  -3.194E-04
   89   0.0890      8    391   3.910E-03   3.916E-03  -1.599E-03
   90   0.0900      9    400   4.000E-03   4.002E-03  -5.280E-04
   91   0.0910      9    409   4.090E-03   4.089E-03   2.685E-04
   92   0.0920      9    418   4.180E-03   4.176E-03   8.521E-04
   93   0.0930      9    427   4.270E-03   4.265E-03   1.206E-03
   94   0.0940      9    436   4.360E-03   4.354E-03   1.316E-03
   95   0.0950      9    445   4.450E-03   4.444E-03   1.252E-03
   96   0.0960      9    454   4.540E-03   4.536E-03   9.834E-04
   97   0.0970      9    463   4.630E-03   4.627E-03   5.631E-04
   98   0.0980      9    472   4.720E-03   4.720E-03  -3.936E-05
   99   0.0990      9    481   4.810E-03   4.814E-03  -8.004E-04
  100   0.1000      9    490   4.900E-03   4.908E-03  -1.685E-03
  101   0.1010     10    500   5.000E-03   5.004E-03  -7.372E-04
  102   0.1020     10    510   5.100E-03   5.100E-03   2.812E-05
  103   0.1030     10    520   5.200E-03   5.197E-03   5.965E-04
  104   0.1040     10    530   5.300E-03   5.295E-03   9.666E-04
  105   0.1050     10    540   5.400E-03   5.394E-03   1.196E-03
  106   0.1060     10    550   5.500E-03   5.493E-03   1.234E-03
  107   0.1070     10    560   5.600E-03   5.594E-03   1.137E-03
  108   0.1080     10    570   5.700E-03   5.695E-03   9.000E-04
  109   0.1090     10    580   5.800E-03   5.797E-03   5.097E-04
  110   0.1100     10    590   5.900E-03   5.900E-03   1.626E-05
  111   0.1110     10    600   6.000E-03   6.004E-03  -6.164E-04
  112   0.1120     10    610   6.100E-03   6.108E-03  -1.371E-03
  113   0.1130     11    621   6.210E-03   6.214E-03  -6.209E-04
  114   0.1140     11    632   6.320E-03   6.320E-03  -3.455E-05
  115   0.1150     11    643   6.430E-03   6.427E-03   4.254E-04
  116   0.1160     11    654   6.540E-03   6.535E-03   7.361E-04
  117   0.1170     11    665   6.650E-03   6.644E-03   9.048E-04
  118   0.1180     11    676   6.760E-03   6.754E-03   9.568E-04
  119   0.1190     11    687   6.870E-03   6.864E-03   8.705E-04
  120   0.1200     11    698   6.980E-03   6.975E-03   6.881E-04
  121   0.1210     11    709   7.090E-03   7.087E-03   3.880E-04
  122   0.1220     11    720   7.200E-03   7.200E-03  -3.318E-05
  123   0.1230     11    731   7.310E-03   7.314E-03  -5.267E-04
  124   0.1240     11    742   7.420E-03   7.428E-03  -1.140E-03
  125   0.1250     12    754   7.540E-03   7.544E-03  -4.913E-04
  126   0.1260     12    766   7.660E-03   7.660E-03   3.155E-05
  127   0.1270     12    778   7.780E-03   7.777E-03   4.181E-04
  128   0.1280     12    790   7.900E-03   7.894E-03   6.980E-04
  129   0.1290     12    802   8.020E-03   8.013E-03   8.605E-04
