     1.8851   146.1658   117.9948    86.2651
     1.8991   146.2941   118.1462    86.2755
     1.9130   146.4207   118.2961    86.2848
     1.9270   146.5455   118.4445    86.2930
     1.9410   146.6684   118.5913    86.3002
     1.9549   146.7896   118.7368    86.3063
     1.9689   146.9092   118.8808    86.3114
     1.9829   147.0269   119.0233    86.3155
     1.9968   147.1431   119.1645    86.3186
     2.0108   147.2576   119.3043    86.3208
     2.0247   147.3705   119.4427    86.3220
     2.0387   147.4817   119.5797    86.3223
     2.0527   147.5914   119.7155    86.3217
     2.0666   147.6995   119.8499    86.3201
     2.0806   147.8062   119.9831    86.3176
     2.0946   147.9114   120.1150    86.3143
     2.1085   148.0150   120.2456    86.3101
     2.1225   148.1171   120.3749    86.3051
     2.1365   148.2180   120.5032    86.2992
     2.1504   148.3173   120.6301    86.2925
     2.1644   148.4152   120.7558    86.2850
     2.1783   148.5117   120.8804    86.2767
     2.1923   148.6070   121.0038    86.2677
     2.2063   148.7008   121.1260    86.2578
     2.2202   148.7933   121.2471    86.2473
     2.2342   148.8845   121.3671    86.2359
     2.2482   148.9745   121.4860    86.2239
     2.2621   149.0632   121.6038    86.2111
     2.2761   149.1506   121.7205    86.1976
     2.2901   149.2368   121.8362    86.1834
     2.3040   149.3219   121.9509    86.1685
     2.3180   149.4057   122.0645    86.1529
     2.3319   149.4883   122.1770    86.1367
     2.3459   149.5698   122.2886    86.1199
     2.3599   149.6502   122.3992    86.1023
     2.3738   149.7294   122.5088    86.0841
     2.3878   149.8074   122.6174    86.0654
     2.4018   149.8845   122.7250    86.0460
     2.4157   149.9604   122.8317    86.0260
     2.4297   150.0352   122.9375    86.0054
     2.4437   150.1089   123.0423    85.9842
     2.4576   150.1817   123.1462    85.9625
     2.4716   150.2534   123.2492    85.9402
     2.4855   150.3241   123.3513    85.9173
     2.4995   150.3937   123.4525    85.8938
     2.5135   150.4624   123.5528    85.8699
     2.5274   150.5301   123.6523    85.8454
     2.5414   150.5969   123.7509    85.8204
     2.5554   150.6627   123.8488    85.7948
     2.5693   150.7275   123.9456    85.7687
     2.5833   150.7914   124.0417    85.7421
     2.5973   150.8544   124.1369    85.7151
     2.6112   150.9165   124.2314    85.6875
     2.6252   150.9778   124.3251    85.6596
     2.6391   151.0381   124.4180    85.6311
     2.6531   151.0976   124.5101    85.6021
     2.6671   151.1562   124.6014    85.5728
     2.6810   151.2139   124.6919    85.5429
