  rad  n_part V_c    Disp: rad   Z         phikappa Omega Q  <Vphi>  ASYMD  
  0.1624    6   40.05   21.82    32.02    19.14     5.93     3.38       1.20      40.72       0.00      14.84
  0.1652    6   40.42   21.97    32.01    19.28     5.88     3.35       1.20      41.09       0.00      15.05
  0.1680    6   40.80   22.12    31.99    19.41     5.84     3.32       1.20      41.45       0.00      15.27
  0.1708    6   41.15   22.26    31.98    19.53     5.79     3.30       1.20      41.79       0.00      15.48
  0.1736    6   41.51   22.41    31.96    19.67     5.75     3.27       1.20      42.15       0.00      15.69
  0.1764    6   41.88   22.55    31.94    19.79     5.71     3.25       1.20      42.50       0.00      15.91
  0.1792    6   42.22   22.68    31.93    19.91     5.67     3.23       1.20      42.84       0.00      16.12
  0.1820    6   42.58   22.82    31.91    20.04     5.63     3.20       1.20      43.18       0.00      16.33
  0.1848    6   42.94   22.96    31.90    20.15     5.59     3.18       1.20      43.53       0.00      16.54
  0.1876    7   43.27   23.09    31.88    20.28     5.55     3.16       1.20      43.86       0.00      16.75
  0.1904    7   43.63   23.23    31.86    20.39     5.51     3.14       1.20      44.20       0.00      16.96
  0.1932    7   43.98   23.36    31.85    20.51     5.48     3.12       1.20      44.54       0.00      17.16
  0.1960    7   44.31   23.49    31.83    20.63     5.44     3.10       1.20      44.86       0.00      17.37
  0.1988    7   44.65   23.61    31.82    20.74     5.41     3.08       1.20      45.19       0.00      17.58
  0.2016    7   45.00   23.74    31.80    20.85     5.37     3.06       1.20      45.52       0.00      17.78
  0.2044    7   45.32   23.87    31.78    20.96     5.34     3.04       1.20      45.84       0.00      17.99
  0.2072    7   45.66   23.99    31.77    21.07     5.31     3.02       1.20      46.17       0.00      18.19
  0.2100    7   45.98   24.11    31.75    21.18     5.27     3.00       1.20      46.48       0.00      18.40
  0.2128    7   46.32   24.23    31.74    21.29     5.24     2.98       1.20      46.80       0.00      18.60
  0.2156    7   46.65   24.35    31.72    21.39     5.21     2.97       1.20      47.12       0.00      18.80
  0.2184    8   46.97   24.47    31.71    21.49     5.18     2.95       1.20      47.43       0.00      19.00
  0.2212    8   47.30   24.59    31.69    21.60     5.15     2.93       1.20      47.74       0.00      19.20
  0.2240    8   47.63   24.70    31.67    21.70     5.12     2.91       1.20      48.06       0.00      19.40
  0.2268    8   47.94   24.82    31.66    21.80     5.09     2.90       1.20      48.36       0.00      19.60
  0.2296    8   48.26   24.93    31.64    21.91     5.06     2.88       1.20      48.67       0.00      19.80
  0.2324    8   48.58   25.04    31.63    22.00     5.04     2.87       1.20      48.98       0.00      20.00
  0.2352    8   48.89   25.15    31.61    22.10     5.01     2.85       1.20      49.28       0.00      20.20
  0.2380    8   49.21   25.26    31.59    22.20     4.98     2.83       1.20      49.58       0.00      20.40
  0.2408    8   49.53   25.37    31.58    22.29     4.96     2.82       1.20      49.89       0.00      20.59
  0.2436    8   49.83   25.48    31.56    22.39     4.93     2.80       1.20      50.18       0.00      20.79
  0.2464    8   50.14   25.58    31.55    22.49     4.91     2.79       1.20      50.48       0.00      20.99
  0.2492    8   50.46   25.69    31.53    22.58     4.88     2.78       1.20      50.78       0.00      21.18
  0.2520    9   50.76   25.79    31.52    22.67     4.86     2.76       1.20      51.07       0.00      21.38
  0.2548    9   51.06   25.90    31.50    22.76     4.83     2.75       1.20      51.36       0.00      21.57
  0.2576    9   51.37   26.00    31.48    22.85     4.81     2.73       1.20      51.66       0.00      21.76
  0.2604    9   51.67   26.10    31.47    22.94     4.78     2.72       1.20      51.94       0.00      21.96
  0.2632    9   51.97   26.20    31.45    23.03     4.76     2.71       1.20      52.23       0.00      22.15
  0.2660    9   52.26   26.30    31.44    23.12     4.74     2.70       1.20      52.51       0.00      22.34
  0.2688    9   52.57   26.40    31.42    23.21     4.72     2.68       1.20      52.80       0.00      22.53
  0.2716    9   52.87   26.49    31.41    23.29     4.69     2.67       1.20      53.08       0.00      22.72
  0.2744    9   53.15   26.59    31.39    23.38     4.67     2.66       1.20      53.36       0.00      22.91
  0.2772    9   53.45   26.69    31.37    23.46     4.65     2.64       1.20      53.64       0.00      23.10
  0.2800    9   53.75   26.78    31.36    23.55     4.63     2.63       1.20      53.93       0.00      23.29
  0.2828   10   54.03   26.87    31.34    23.63     4.61     2.62       1.20      54.20       0.00      23.48
  0.2856   10   54.33   26.97    31.33    23.71     4.59     2.61       1.20      54.48       0.00      23.67
  0.2884   10   54.62   27.06    31.31    23.79     4.57     2.60       1.20      54.76       0.00      23.86
  0.2912   10   54.90   27.15    31.30    23.88     4.55     2.59       1.20      55.03       0.00      24.04
  0.2940   10   55.19   27.24    31.28    23.95     4.53     2.58       1.20      55.30       0.00      24.23
  0.2968   10   55.48   27.33    31.26    24.03     4.51     2.56       1.20      55.58       0.00      24.42
  0.2996   10   55.76   27.42    31.25    24.11     4.49     2.55       1.20      55.84       0.00      24.60
  0.3024   10   56.04   27.51    31.23    24.19     4.47     2.54       1.20      56.12       0.00      24.79
  0.3052   10   56.33   27.59    31.22    24.26     4.45     2.53       1.20      56.39       0.00      24.97
  0.3080   10   56.60   27.68    31.20    24.34     4.43     2.52       1.20      56.65       0.00      25.16
  0.3108   10   56.88   27.77    31.19    24.42     4.42     2.51       1.20      56.92       0.00      25.34
  0.3136   10   57.16   27.85    31.17    24.49     4.40     2.50       1.20      57.18       0.00      25.52
  0.3164   11   57.44   27.94    31.16    24.57     4.38     2.49       1.20      57.44       0.00      25.71
  0.3192   11   57.72   28.02    31.14    24.64     4.36     2.48       1.20      57.71       1.05      25.89
  0.3220   11   57.99   28.10    31.12    24.71     4.35     2.47       1.20      57.96       1.63      26.07
  0.3248   11   58.26   28.18    31.11    24.79     4.33     2.46       1.20      58.23       2.08      26.25
  0.3276   11   58.54   28.26    31.09    24.86     4.31     2.45       1.20      58.49       2.44      26.43
  0.3304   11   58.81   28.35    31.08    24.93     4.30     2.44       1.20      58.74       2.75      26.61
  0.3332   11   59.08   28.43    31.06    25.00     4.28     2.43       1.20      59.00       3.05      26.79
  0.3360   11   59.35   28.50    31.05    25.07     4.26     2.42       1.20      59.26       3.31      26.97
  0.3388   11   59.62   28.58    31.03    25.14     4.25     2.42       1.20      59.51       3.55      27.15
  0.3416   11   59.89   28.66    31.02    25.21     4.23     2.41       1.20      59.77       3.79      27.33
  0.3444   11   60.16   28.74    31.00    25.27     4.22     2.40       1.20      60.02       4.01      27.51
  0.3472   11   60.42   28.82    30.98    25.34     4.20     2.39       1.20      60.27       4.23      27.69
  0.3500   12   60.69   28.89    30.97    25.41     4.19     2.38       1.20      60.52       4.43      27.86
  0.3528   12   60.95   28.97    30.95    25.48     4.17     2.37       1.20      60.78       4.63      28.04
  0.3556   12   61.21   29.04    30.94    25.54     4.16     2.36       1.20      61.02       4.82      28.22
  0.3584   12   61.48   29.12    30.92    25.61     4.14     2.35       1.20      61.27       5.01      28.39
  0.3612   12   61.73   29.19    30.91    25.67     4.13     2.35       1.20      61.51       5.18      28.57
  0.3640   12   62.00   29.26    30.89    25.74     4.11     2.34       1.20      61.76       5.36      28.74
  0.3668   12   62.26   29.33    30.88    25.80     4.10     2.33       1.20      62.01       5.53      28.92
  0.3696   12   62.51   29.41    30.86    25.86     4.08     2.32       1.20      62.25       5.70      29.09
